region	farm number	sample no.	sample date	opening pods date	Cut white beans 	drying start date	drying end date	moisture	awb number	date shipped	Result flavanols (%)	Results Cadmium deshelled beans (mg/kg)	Results Lead deshelled beans (mg/kg)	Results Lead shells (mg/kg)	Cadmium soil (mg/kg)	Soil ph	Violet	Slaty	Other
D	47.0	D.47.1	2016-08-04	2016-08-05		2016-08-05	2016-08-08	6.6	4071273360.0	2016-08-16	7.37	0.4	0.02	0.4	0.04	6.69			
D	47.0	D.47.2	2016-09-07	2016-09-08		2016-09-08	2016-09-12	7.8	2653222051.0	2016-09-28	7.7	0.38							
D	47.0	D.47.3	2016-10-05	2016-10-06		2016-10-06	2016-10-10	8.0	9237179092.0	2016-10-18	7.8	0.82			0.12	6.21			
D	47.0	D.47.4	2016-11-14	2016-11-15		2016-11-15	2016-11-17	7.5	1917178631.0	2016-11-24	8.5	0.53							
D	47.0	D.47.5	2016-12-07	2016-12-08		2016-12-08	2016-12-12	7.8	9239998445.0	2016-12-23	7.6	0.63							
D	47.0	D.47.6	2017-01-03	2017-01-04		2017-01-04	2017-01-09	8.0	9061209463.0	2017-01-11	8.7	0.75							
D	47.0	D.47.7	2017-01-23	2017-01-25		2017-01-25	2017-01-30	6.0	6868917801.0	2017-02-15	8.4	0.76							
D	47.0	D.47.8	2017-03-01	2017-03-02		2017-03-02	2017-03-06	7.5	5483672482.0	2017-03-10	7.1	0.63							
D	47.0	D.47.9	2017-03-21	2017-03-22		2017-03-22	2017-03-27	7.0	4089034810.0	2017-03-31	7.1	0.6							
D	49.0	D.49.1	2016-08-04	2016-08-05		2016-08-05	2016-08-08	6.4	4071273360.0	2016-08-16	8.14	1.1	0.02	0.46	0.05	6.6			
D	49.0	D.49.2	2016-08-31	2016-09-01		2016-09-01	2016-09-05	6.0	4071423425.0	2016-09-07	7.37	0.76							
D	49.0	D.49.3	2016-10-05	2016-10-06		2016-10-06	2016-10-10	8.0	9237179092.0	2016-10-18	8.0	0.77			0.17	5.29			
D	49.0	D.49.4	2016-11-14	2016-11-15		2016-11-15	2016-11-17	8.0	1917178631.0	2016-11-24	8.71	0.86							
D	49.0	D.49.5	2016-12-07	2016-12-08		2016-12-08	2016-12-12	6.5	9239998445.0	2016-12-23	7.4	1.09							
D	49.0	D.49.6	2017-01-03	2017-01-04		2017-01-04	2017-01-09	7.0	9061209463.0	2017-01-11	8.8	0.96							
